NAME	TITLE	SCORE	
ENSG00000169598		1.8003423	
ENSG00000105137		1.7989748	
ENSG00000083845		1.7987977	
ENSG00000159720		1.7987546	
ENSG00000236876		1.7985168	
ENSG00000174775		1.7976224	
ENSG00000107175		1.7947823	
ENSG00000162849		1.7942753	
ENSG00000159210		1.7901425	
ENSG00000243449		1.7894518	
ENSG00000108518		1.7875392	
ENSG00000101335		1.7856973	
ENSG00000052749		1.7840321	
ENSG00000138623		1.7784003	
ENSG00000230021		1.7769482	
ENSG00000131480		1.7743026	
ENSG00000139131		1.7740116	
ENSG00000102901		1.7733777	
ENSG00000125864		1.7733104	
ENSG00000237575		1.771126	
ENSG00000144655		1.7701128	
ENSG00000173239		1.7697335	
ENSG00000156508		1.7684425	
ENSG00000123815		1.7684021	
ENSG00000006712		1.7669276	
ENSG00000115474		1.765298	
ENSG00000158864		1.7625378	
ENSG00000213250		1.7623429	
ENSG00000135373		1.7607812	
ENSG00000253696		1.7599962	
ENSG00000242950		1.7599117	
ENSG00000223756		1.7596259	
ENSG00000149806		1.7588785	
ENSG00000168062		1.7574177	
ENSG00000157227		1.757276	
ENSG00000184897		1.7570889	
ENSG00000179820		1.7570634	
ENSG00000164430		1.7558484	
ENSG00000136842		1.7557584	
ENSG00000179950		1.7544475	
ENSG00000131015		1.7540647	
ENSG00000197771		1.7539333	
ENSG00000254317		1.7524154	
ENSG00000034152		1.7524073	
ENSG00000073756		1.7521399	
ENSG00000240854		1.7517122	
ENSG00000179133		1.7515687	
ENSG00000180155		1.7503643	
ENSG00000161714		1.7479279	
ENSG00000244861		1.7477523	
ENSG00000205056		1.7475044	
ENSG00000127616		1.7474107	
ENSG00000073008		1.744471	
ENSG00000255240		1.7443401	
ENSG00000182718		1.7427173	
ENSG00000197665		1.7422621	
ENSG00000249936		1.7403709	
ENSG00000234488		1.7397096	
ENSG00000146205		1.7395434	
ENSG00000229994		1.7380214	
ENSG00000074201		1.7373195	
ENSG00000105270		1.736897	
ENSG00000122882		1.736805	
ENSG00000248208		1.7356063	
ENSG00000095794		1.7344803	
ENSG00000111913		1.7341857	
ENSG00000174093		1.7341795	
ENSG00000231878		1.7337624	
ENSG00000072958		1.7318236	
ENSG00000177427		1.7311534	
ENSG00000180229		1.7308928	
ENSG00000149600		1.7299412	
ENSG00000087460		1.7299014	
ENSG00000106012		1.7293147	
ENSG00000170122		1.7292033	
ENSG00000105676		1.7289664	
ENSG00000120029		1.7283356	
ENSG00000128271		1.7275183	
ENSG00000170322		1.7273271	
ENSG00000090530		1.7257758	
ENSG00000184922		1.7255282	
ENSG00000141985		1.7250055	
ENSG00000132361		1.7243052	
ENSG00000100605		1.7234906	
ENSG00000101182		1.7226604	
ENSG00000130055		1.7224588	
ENSG00000255210		1.7217315	
ENSG00000160439		1.7215259	
ENSG00000172247		1.7211277	
ENSG00000227465		1.7205014	
ENSG00000115073		1.7202024	
ENSG00000139168		1.7198426	
ENSG00000168487		1.719358	
ENSG00000013583		1.7188678	
ENSG00000129038		1.7182152	
ENSG00000105737		1.7178497	
ENSG00000100401		1.717585	
ENSG00000247207		1.7175088	
ENSG00000159423		1.7160832	
ENSG00000142686		1.7160012	
ENSG00000056558		1.7149471	
ENSG00000119333		1.7128744	
ENSG00000224857		1.7113416	
ENSG00000256027		1.7099184	
ENSG00000178896		1.7089535	
ENSG00000161638		1.7088739	
ENSG00000088881		1.708667	
ENSG00000236296		1.7078005	
ENSG00000092841		1.7073523	
ENSG00000075399		1.7067499	
ENSG00000239569		1.705691	
